SKU,NombreProducto,Ventas_Proyectadas_Regular,Ventas_Proyectadas_Cyber,Elasticidad_IA
212428,UNA COLECCION MULTI OP1 NAVIDAD 2025,1.6,1.0,0.97
121372,UNA SOMB LIQ MARR METAL,1.0,1.8,-2.06
137958,FACES SOMBRA MONO YELLOW,1.0,1.0,-0.11
212406,FACES LAB WOW DELI LIQ NAVIDAD 2025 CH,1.1,1.0,0.25
212430,UNA COL FIESTA PALETA MASC NAVIDAD 2025,2.1,1.2,1.17
196315,UNA LAPIS OLHOS DOURADO CELEBRAR 1G,1.3,1.2,0.21
150302,LUMINA COND MASC ANTIQUE 50ML PS,2.0,2.4,-0.61
180470,"TODODIA LIPBALM ACEROL 2,7G",8.1,7.6,0.19
166350,FACES MASCARA REDUTORA DE POROS 50ML,4.3,7.7,-2.12
180469,TODODIA DES HID CORP ILU DOUR ACER 150ML,6.1,10.7,-2.06
215940,TODODIA ALGODON NAVIDAD 2025 CH,8.4,9.9,-0.49
163721,TODODIA DES CORP SPRAY ACEROLA HIB 60ML,6.0,9.8,-1.71
229905,EKOS CASTANA INTER NAVIDAD 2025 CH,8.7,8.6,0.01
215907,TODODIA FRAMB PIMIE ROSA NAVIDAD 2025 CH,10.2,13.7,-0.93
155891,TODODIA SAB BAR FLOR PERAMELISSA 2X90G,3.4,16.1,-9.96
150304,LUMINA COND MASC RECONST 50ML PS,3.2,3.7,-0.46
212431,FACES DUO OJOS MONTADO NAVIDAD 2025,1.1,1.3,-0.48
129825,HUMOR PRIMEIRO DES HIDRA MOUSSE 200G,4.0,10.3,-4.24
215938,UNA OJOS NAVIDAD 2025 CH,1.6,1.4,0.43
150303,LUMINA COND MASC NUTRICAO 50ML PS,2.6,4.5,-1.98
229906,EKOS UCUUBA NAVIDAD 2025 CH,3.4,3.4,-0.02
170796,TODODIA DES SPRAY BQ FLORES BY SP 200ML,30.1,38.0,-0.71
180473,TODODIA DES HID CORP ILU ACOB ACER 150ML,1.9,2.9,-1.34
174205,LUNA EDT CLASS LUNA GIRL 25ML LTM,2.7,2.5,0.12
102872,FACES BASE LIQUIDA MATTE 37C 37Q,1.0,1.0,-0.0
212436,UNA RUTINA  FIESTAS OPC 1 NAVIDAD 2025,1.1,1.7,-1.33
137954,"FACES SOMBRA MONO RUBI SHINE 1,5G",1.4,2.1,-1.46
215948,TODODIA ESTRELLAS NAVIDAD 2025 CH,5.0,3.4,0.89
215936,FACES DUO LABIALES  NAVIDAD 2025 CH,3.3,2.8,0.39
215927,FACES MASCARA Y LAPIZ RT NAVIDAD 2025 CH,1.9,1.4,0.72
215946,EKOS PITANGA PRETA PERF NAVIDAD 2025 CH,2.3,1.6,0.82
215926,KAIAK CLA MONT TRAV SIZE NAVIDAD 2025 CH,4.7,7.4,-1.58
123952,TODODIA DES HID CORPO ALGODAO 80ML,1.0,1.0,-0.05
151024,NATURA 679 AMBRETTE EAU PARFUM 50ML,1.2,12.3,-25.53
215916,HOMEM POTENCE MINI NAVIDAD 2025 CH,4.5,6.5,-1.27
152281,KAIAK AERO DES SPRAY FEM 100ML,3.5,9.1,-4.46
194811,KAIAK URBE MASC PRE BARBA 75G,1.8,7.8,-9.15
146892,ESSENCIAL DES HID OUD FEM 100ML,1.5,2.1,-1.1
115708,HUMOR PROPRIO EDT MINIATURA 25ML LTM,4.2,10.1,-3.89
197209,EKOS OLEO TRIF DES MARACU CORPORAL 100ML,2.3,10.6,-9.71
193724,TODODIA SAB BAR FRAM E PIMEN RO FP 90G,1.2,5.9,-10.77
194812,HUMOR DES HID PROPRIO CALDA CORP 120ML,2.0,8.1,-8.42
129964,AGUAS SABO BARR CAMPOS DE VIOLETAS 1X90G,3.5,7.5,-3.17
194808,KAIAK URBE MASC POS BARBA 75G,1.8,9.5,-11.45
186433,TODODIA SAB BAR SORTI FRASE 1 5X90G,3.2,11.7,-7.1
170797,EKOS SAB LIQ ESF MARACUJA 100ML LTM,3.1,5.9,-2.49
23081,TODODIA MACAD HID DES CORPO 200ML,8.8,17.1,-2.53
197516,HUMOR PAZ E HUMOR EDT MASC 25ML LTM,1.8,4.6,-4.22
196401,ILIA SECRETO EDP 25ML LTM,3.4,10.7,-5.95
155865,TODODIA GLOSS MANG ROSA AGUA COCO 10ML,5.2,8.5,-1.71
131415,KAIAK CLA E HUMOR PRI EDT FEM 2X25ML,2.1,3.8,-2.2
